AdCode,OriginalRows,PerfectRows,RetainedRows,AvgMissingInRetained,PerfectBlocks,FilteredBlocks
231225,184,19,100,0.81,2,10
230811,751,388,100,0.0,39,10
231102,294,169,100,0.0,17,10
232718,114,40,100,0.88,4,10
232701,82,26,82,0.78,3,9
232722,83,23,83,1.0,3,9
232721,110,3,100,2.21,1,10
231281,395,75,100,0.25,8,10
231221,298,108,100,0.0,11,10
231222,305,151,100,0.0,16,10
231282,818,78,100,0.22,8,10
231005,1478,311,100,0.0,32,10
231226,198,108,100,0.0,11,10
310101,2428,15,100,0.68,2,10
231223,452,106,100,0.0,11,10
310104,2581,1,100,1.43,1,10
310105,2940,7,100,1.14,1,10
231202,842,225,100,0.0,23,10
310106,2154,17,100,0.77,2,10
310110,2618,6,100,1.37,1,10
310109,2565,37,100,0.68,4,10
231283,303,144,100,0.0,15,10
310113,4529,36,100,1.99,4,10
310114,3488,29,100,1.19,3,10
310118,2676,11,100,1.78,2,10
310116,2714,49,100,0.51,5,10
310117,4589,43,100,0.53,5,10
310151,956,24,100,2.37,3,10
310120,3797,75,100,0.19,8,10
320105,710,227,100,0.0,23,10
310115,10206,88,100,0.12,9,10
320118,1094,166,100,0.0,17,10
320102,888,302,100,0.0,31,10
320114,781,119,100,0.0,12,10
320111,1542,303,100,0.0,31,10
310112,6048,434,100,0.0,44,10
310107,1788,539,100,0.0,54,10
320116,1684,330,100,0.0,33,10
320214,111,85,100,0.31,9,10
320117,884,281,100,0.0,29,10
320113,1189,277,100,0.0,28,10
320106,2227,521,100,0.0,53,10
320302,1006,95,100,0.05,10,10
320303,956,56,100,0.47,6,10
320213,621,279,100,0.0,28,10
320205,1944,332,100,0.0,34,10
320206,1560,403,100,0.0,41,10
320311,931,454,100,0.0,46,10
320115,2219,891,100,0.0,90,10
320321,1490,554,100,0.0,56,10
320211,1250,429,100,0.0,43,10
320104,1970,746,100,0.0,75,10
320305,848,414,100,0.0,42,10
320381,1600,474,100,0.0,48,10
320312,2255,769,100,0.0,77,10
320382,2211,731,100,0.0,74,10
320322,1539,694,100,0.0,70,10
320404,1595,295,100,0.0,30,10
320324,1725,791,100,0.0,80,10
320411,1427,491,100,0.0,50,10
320507,1916,667,100,0.0,67,10
320282,3434,847,100,0.0,85,10
320614,1346,310,100,0.0,31,10
320612,1980,65,100,0.35,7,10
320402,1822,832,100,0.0,84,10
320506,2294,772,100,0.0,78,10
320508,2071,478,100,0.0,48,10
320613,1747,408,100,0.0,41,10
320585,2540,946,100,0.0,95,10
320413,1375,608,100,0.0,61,10
320623,1209,146,100,0.0,15,10
320582,3587,1331,100,0.0,134,10
320505,1450,1032,100,0.0,104,10
320481,1663,556,100,0.0,56,10
320412,3977,1507,100,0.0,151,10
320685,1188,241,100,0.0,25,10
320682,1931,500,100,0.0,50,10
320724,867,264,100,0.0,27,10
320681,1433,415,100,0.0,42,10
320813,706,130,100,0.0,13,10
320703,732,191,100,0.0,20,10
320804,1373,45,100,0.77,5,10
320509,4522,1749,100,0.0,175,10
320722,1607,477,100,0.0,48,10
320831,516,226,100,0.0,23,10
320826,1490,519,100,0.0,52,10
320903,640,146,100,0.0,15,10
320723,1115,314,100,0.0,32,10
320812,1065,231,100,0.0,24,10
320707,1547,508,100,0.0,51,10
320902,1846,17,100,0.83,2,10
320830,1771,283,100,0.0,29,10
320921,753,141,100,0.0,15,10
320581,5086,1991,100,0.0,200,10
320803,2233,748,100,0.0,75,10
320922,1530,154,100,0.0,16,10
320904,1118,147,100,0.0,15,10
320706,2002,706,100,0.0,71,10
321003,1473,326,100,0.0,33,10
321023,767,3,100,3.15,1,10
321002,1195,395,100,0.0,40,10
320923,1305,331,100,0.0,34,10
321081,1073,218,100,0.0,22,10
321111,549,193,100,0.0,20,10
320981,1342,141,100,0.0,15,10
321102,710,146,100,0.0,15,10
321182,686,76,100,0.24,8,10
321112,459,377,100,0.0,38,10
321202,935,131,100,0.0,14,10
321084,1285,520,100,0.0,52,10
320925,1170,277,100,0.0,28,10
320583,4751,1794,100,0.0,180,10
321012,1616,388,100,0.0,39,10
