法律依据,出现次数
《中华人民共和国刑法(1997年)》第237条第231款,444
《中华人民共和国刑法》第118条,443
《最高人民法院关于办理减刑假释案件具体应用法律若干问题的规定》第1条,443
《中华人民共和国刑法》第31条,441
《中华人民共和国刑法》第164条第161款,441
《最高人民法院、最高人民检察院关于办理危害食品安全刑事案件适用法律若干问题的解释》第1条,438
《最高人民法院关于审理破坏森林资源刑事案件具体应用法律若干问题的解释》第2条,432
《中华人民共和国刑法》第83条第81款,430
《中华人民共和国刑法》第258条,424
《最高人民法院、最高人民检察院关于办理危害食品安全刑事案件适用法律若干问题的解释》第9条第1款,415
《中华人民共和国刑法》第20条第21款,409
《最高人民法院关于审理破坏野生动物资源刑事案件具体应用法律若干问题的解释》第6条,406
《最高人民法院、最高人民检察院关于办理诈骗刑事案件具体应用法律若干问题的解释》第5条第1款,405
《中华人民共和国刑法(1997年)》第118条,401
《中华人民共和国刑法》第209条第201款,392
《中华人民共和国刑法》第186条第181款,391
《中华人民共和国刑法(1997年)》第341条第341款,389
《中华人民共和国刑法》第363条第361款,384
《最高人民法院、最高人民检察院关于办理妨害信用卡管理刑事案件具体应用法律若干问题的解释》第2条第1款,384
《最高人民法院、最高人民检察院关于办理抢夺刑事案件适用法律若干问题的解释》第1条,384
《中华人民共和国刑法(1997年)》第6条第1款,364
《中华人民共和国刑事诉讼法(2012年)》第234条第231款,363
《最高人民法院、最高人民检察院关于办理环境污染刑事案件适用法律若干问题的解释》第1条,356
《中华人民共和国刑法》第210条第211款,355
《中华人民共和国刑法(1997年)》第58条第51款,353
《中华人民共和国刑法》第30条,352
《中华人民共和国刑法》第125条第121款,352
《最高人民法院、最高人民检察院关于办理非法生产、销售烟草专卖品等刑事案件具体应用法律若干问题的解释》第5条,351
《中华人民共和国刑法》第172条,348
《中华人民共和国刑法》第217条,347
《中华人民共和国刑事诉讼法(2012年)》第65条第61款,347
《中华人民共和国刑法(1997年)》第226条,346
《中华人民共和国刑法(1997年)》第276条,345
《中华人民共和国刑法(1997年)》第135条,342
《中华人民共和国刑法(1997年)》第240条第241款,341
《中华人民共和国刑法(1997年)》第36条第31款,336
《最高人民法院、最高人民检察院关于办理非法生产、销售烟草专卖品等刑事案件具体应用法律若干问题的解释》第6条,336
《中华人民共和国刑法(1997年)》第22条第21款,332
《中华人民共和国刑法(1997年)》第54条,329
《最高人民法院、最高人民检察院关于办理妨害信用卡管理刑事案件具体应用法律若干问题的解释》第7条第1款,329
《最高人民法院、最高人民检察院关于办理盗窃刑事案件适用法律若干问题的解释》第12条第11款,327
《中华人民共和国刑法(1997年)》第24条第21款,325
《中华人民共和国刑法(1997年)》第3条,321
《中华人民共和国刑法(1997年)》第328条第321款,320
《中华人民共和国刑事诉讼法》第307条,318
《中华人民共和国刑法(1997年)》第124条第121款,315
